stadium,date,time,home,guest
May 17th Stadium,2020-12-16,11:15:11,Cambodia,Montenegro
May 17th Stadium,2020-12-05,01:59:37,Moldova,Vietnam
May 17th Stadium,2020-11-23,02:49:13,El Salvador,India
Semarak Stadium,2021-04-26,12:15:24,Lithuania,Sweden
Semarak Stadium,2021-03-13,05:51:56,Lebanon,Austria
Semarak Stadium,2021-03-14,09:19:24,Belgium,Oman
Semarak Stadium,2021-04-28,15:29:04,Denmark,Morocco
Semarak Stadium,2020-12-05,12:17:57,Finland,Eritrea
Semarak Stadium,2020-12-10,15:50:49,Zambia,Botswana
Semarak Stadium,2021-05-08,21:34:34,Oman,Brunei
Semarak Stadium,2021-01-19,02:33:19,Canada,United Arab Emirates
Semarak Stadium,2020-12-03,02:57:59,Malawi,United Kingdom
Gelora 17 December Stadium,2021-05-15,19:41:19,Slovakia,Italy
Gelora 17 December Stadium,2021-04-22,12:41:51,Sierra Leone,Ireland
Gelora 17 December Stadium,2021-02-17,20:46:01,Morocco,Curaçao
Gelora 17 December Stadium,2021-02-18,18:25:30,Belarus,Singapore
Gelora 17 December Stadium,2021-02-07,18:39:11,Kazakhstan,Afghanistan
Gelora 17 December Stadium,2021-02-20,22:21:54,Panama,Pakistan
Gelora 17 December Stadium,2020-12-01,14:05:42,Bosnia and Herzegovina,Syria
Knights Stadium,2020-11-27,03:08:18,Uzbekistan,Solomon Islands
Knights Stadium,2020-12-19,11:47:12,Sudan,Bosnia and Herzegovina
Knights Stadium,2021-04-08,13:51:18,Panama,Saint Vincent and the Grenadines
Knights Stadium,2021-01-21,21:31:28,Ukraine,Serbia
Knights Stadium,2021-05-16,03:58:50,Brazil,Bosnia and Herzegovina
Knights Stadium,2021-04-10,01:17:35,Liberia,Moldova
Knights Stadium,2021-03-19,21:40:40,São Tomé and Príncipe,Dominican Republic
Knights Stadium,2021-03-24,18:22:52,United States of America,Chile
Knights Stadium,2021-03-30,06:06:03,United Kingdom,Antigua and Barbuda
Marrara Stadium,2021-03-21,10:23:02,Kyrgyzstan,Democratic Republic of the Congo
Marrara Stadium,2021-02-10,07:08:27,Vietnam,Grenada
Marrara Stadium,2020-12-15,00:51:11,Cuba,United Arab Emirates
Marrara Stadium,2021-02-27,22:02:27,Colombia,Botswana
Marrara Stadium,2021-03-31,12:08:24,Sweden,Kyrgyzstan
Marrara Stadium,2020-12-09,14:38:27,Guatemala,Nicaragua
Vatani Stadium,2021-03-07,18:19:43,Austria,Spain
Vatani Stadium,2021-03-31,18:49:26,Ireland,Denmark
Vatani Stadium,2021-05-01,21:10:03,Papua New Guinea,Cambodia
Vatani Stadium,2020-12-05,15:29:12,Saint Lucia,Thailand
Vatani Stadium,2021-05-10,13:48:41,Sierra Leone,Iraq
Laos National Stadium,2021-05-13,19:46:02,Greece,Bhutan
Laos National Stadium,2020-11-29,05:23:47,Dominican Republic,Mali
Laos National Stadium,2021-01-22,17:08:04,Zimbabwe,Morocco
United Stadium of Chiangrai,2021-01-29,22:47:47,Cambodia,Kazakhstan
United Stadium of Chiangrai,2020-12-12,07:48:25,Argentina,Armenia
United Stadium of Chiangrai,2021-05-04,23:46:39,Bahrain,Liberia
United Stadium of Chiangrai,2021-03-15,16:53:01,Colombia,Rwanda
United Stadium of Chiangrai,2020-12-05,15:51:03,Italy,Benin
Phichit Stadium,2020-12-28,21:27:31,Oman,Denmark
Phichit Stadium,2020-12-02,14:25:41,Zambia,Ivory Coast
Phichit Stadium,2020-12-05,15:55:54,Finland,Belgium
Phichit Stadium,2021-04-05,23:45:57,Venezuela,Philippines
Phichit Stadium,2021-01-10,17:02:02,Malaysia,British Virgin Islands
Phichit Stadium,2020-11-29,16:51:57,Trinidad and Tobago,Cape Verde
Phichit Stadium,2021-04-04,08:20:42,Sweden,Ghana
Estadio Romano,2021-01-06,16:18:50,Kazakhstan,Hungary
Estadio Romano,2021-04-21,02:32:03,Papua New Guinea,Norway
Estadio Romano,2020-11-30,10:02:50,Zambia,Afghanistan
Nou Estadi de Tarragona,2021-01-17,23:37:55,Germany,El Salvador
Nou Estadi de Tarragona,2021-05-06,11:17:45,Dominica,Laos
Nou Estadi de Tarragona,2021-03-04,15:30:42,Guyana,Slovakia
Nou Estadi de Tarragona,2021-01-08,16:05:52,Grenada,Croatia
Nou Estadi de Tarragona,2021-04-23,15:12:15,Costa Rica,Chile
Nou Estadi de Tarragona,2021-02-09,07:45:03,Cape Verde,Uzbekistan
Nou Estadi de Tarragona,2021-04-13,11:26:54,Ireland,Georgia
Herman Vanderpoortenstadion,2021-03-10,05:29:02,Kenya,Czech Republic
Herman Vanderpoortenstadion,2021-04-01,11:08:49,North Macedonia,Fiji
Herman Vanderpoortenstadion,2020-12-05,09:51:34,Sudan,Liechtenstein
Stockholm Olympic Stadium,2021-03-24,11:18:18,Guyana,Georgia
Stockholm Olympic Stadium,2021-02-26,23:25:54,Netherlands,Trinidad and Tobago
Stockholm Olympic Stadium,2020-12-25,10:00:07,Saudi Arabia,Dominica
Stockholm Olympic Stadium,2020-12-24,00:39:31,Ivory Coast,Laos
Stockholm Olympic Stadium,2021-03-27,21:44:05,Zimbabwe,United Kingdom
Stadio Nicola Ceravolo,2021-04-11,02:57:19,Ethiopia,Malawi
Stadio Nicola Ceravolo,2021-05-10,17:04:57,Sudan,Zambia
Stadio Nicola Ceravolo,2021-05-09,13:32:28,Nigeria,Belarus
Stadio Nicola Ceravolo,2020-11-27,13:20:22,Philippines,Syria
Stadio Nicola Ceravolo,2021-01-13,23:57:48,Denmark,Venezuela
Stadio Nicola Ceravolo,2020-12-03,19:03:25,Burkina Faso,Slovenia
Stadio Nicola Ceravolo,2021-05-04,03:54:25,Papua New Guinea,Oman
Koning Willem II Stadion,2021-02-05,23:44:26,Spain,Italy
Koning Willem II Stadion,2021-03-02,09:55:37,San Marino,Australia
Koning Willem II Stadion,2021-05-17,16:27:01,Fiji,Chile
De Baandert,2021-01-09,01:08:32,Albania,Mali
De Baandert,2021-03-18,16:42:14,Honduras,Italy
De Baandert,2021-02-16,15:41:08,Serbia,Rwanda
De Baandert,2021-04-24,06:11:29,United States of America,Antigua and Barbuda
Parc y Scarlets,2021-03-30,11:21:01,Chile,Australia
Parc y Scarlets,2021-03-13,17:00:52,Bahrain,Mexico
Parc y Scarlets,2020-12-30,10:17:08,Germany,Saint Kitts and Nevis
Parc y Scarlets,2021-03-08,23:37:16,State of Palestine,Bhutan
Parc y Scarlets,2021-05-04,07:40:47,Slovakia,Liberia
Parc y Scarlets,2021-05-08,23:08:11,Bosnia and Herzegovina,Russia
Parc y Scarlets,2021-03-28,00:57:21,Rwanda,Israel
Parc y Scarlets,2021-01-31,07:10:09,Laos,Burundi
Parc y Scarlets,2021-02-06,14:59:51,Albania,Zimbabwe
Parc y Scarlets,2021-03-10,13:21:39,Moldova,Suriname
Haixia Olympic Center Stadium,2021-03-25,02:13:34,Uganda,Guatemala
Haixia Olympic Center Stadium,2021-04-18,12:44:35,Botswana,Qatar
Haixia Olympic Center Stadium,2021-02-05,15:37:44,Cape Verde,People's Republic of China
Haixia Olympic Center Stadium,2021-03-22,00:00:05,Saudi Arabia,Iceland
Zvezda,2021-02-02,18:31:08,Australia,South Africa
Zvezda,2021-01-22,02:26:14,Burundi,Lebanon
Zvezda,2021-02-16,04:17:36,Republic of Abkhazia,Guatemala
Zvezda,2021-05-16,06:20:34,Liechtenstein,Venezuela
Zvezda,2020-11-27,12:45:53,New Zealand,Malta
Zvezda,2021-04-18,14:33:35,Panama,Ukraine
Zvezda,2021-03-16,16:55:33,Sri Lanka,Cuba
Zvezda,2020-12-14,20:58:17,Democratic Republic of the Congo,Argentina
Zvezda,2021-03-08,18:48:58,Gabon,Bulgaria
Baltika Stadium,2021-02-14,22:53:55,Italy,Saint Lucia
Baltika Stadium,2021-05-06,08:58:17,Democratic Republic of the Congo,Oman
Baltika Stadium,2021-03-07,23:25:20,Netherlands,Zimbabwe
Baltika Stadium,2021-01-09,01:27:22,Belarus,Finland
Stadionul Cotroceni,2021-01-08,08:24:00,Somalia,Iran
Stadionul Cotroceni,2020-12-13,01:50:03,United States of America,Republic of Abkhazia
Stadionul Cotroceni,2021-04-29,08:33:47,Nicaragua,Vietnam
Stadionul Cotroceni,2021-03-14,04:27:21,Laos,North Macedonia
Stadionul Cotroceni,2021-03-16,07:54:15,Latvia,Faroe Islands
Stadionul Cotroceni,2020-11-23,12:42:19,Romania,Greece
Stadionul Cotroceni,2020-12-24,23:11:13,Uganda,Sudan
Stadionul Cotroceni,2021-05-09,23:55:33,Fiji,Syria
Stadionul Cotroceni,2021-02-27,09:30:21,Indonesia,Dominica
Stadionul Cotroceni,2021-01-08,03:35:39,Solomon Islands,Guatemala
Shanghai Stadium,2020-12-18,07:19:45,Cuba,Portugal
Shanghai Stadium,2021-05-05,21:44:06,Sweden,Brazil
Shanghai Stadium,2021-01-22,06:52:48,Nigeria,El Salvador
Shanghai Stadium,2020-12-16,07:21:26,Iran,Algeria
Shanghai Stadium,2020-12-07,01:15:41,Benin,Grenada
Shanghai Stadium,2020-11-30,00:36:12,Venezuela,Slovenia
Shanghai Stadium,2021-01-01,07:16:55,Djibouti,Guatemala
Shanghai Stadium,2021-02-08,10:20:27,Uganda,Austria
Shanghai Stadium,2021-05-13,12:22:21,Guyana,North Korea
Shanghai Stadium,2021-05-17,00:17:35,Angola,Russia
Azadi Stadium,2021-03-27,21:59:03,Myanmar,Afghanistan
Azadi Stadium,2020-12-06,01:16:19,Tajikistan,Slovenia
Azadi Stadium,2021-01-29,16:31:06,Bulgaria,Syria
Azadi Stadium,2021-02-10,07:26:17,El Salvador,Latvia
Azadi Stadium,2021-02-15,16:27:13,Saint Vincent and the Grenadines,Angola
Azadi Stadium,2021-02-14,22:33:28,São Tomé and Príncipe,Japan
Azadi Stadium,2020-12-29,06:31:56,The Gambia,Indonesia
Azadi Stadium,2020-12-02,21:11:18,Ghana,Burkina Faso
Azadi Stadium,2021-04-15,13:57:52,Ireland,Cambodia
Azadi Stadium,2021-04-18,01:35:33,Mauritania,Switzerland
Kimiidera Athletic Stadium,2020-12-14,22:10:09,Oman,Nigeria
Kimiidera Athletic Stadium,2021-04-17,02:19:03,Kuwait,Republic of Abkhazia
Kimiidera Athletic Stadium,2020-12-25,07:00:20,Cape Verde,State of Palestine
Kimiidera Athletic Stadium,2021-02-01,19:47:09,Curaçao,Trinidad and Tobago
Kimiidera Athletic Stadium,2021-04-27,02:34:05,Gabon,Libya
Kazım Karabekir Stadium,2021-05-06,18:26:52,Faroe Islands,Honduras
Kazım Karabekir Stadium,2021-04-10,15:16:31,Iraq,Egypt
Kazım Karabekir Stadium,2020-12-19,21:37:33,Lithuania,Ethiopia
Kazım Karabekir Stadium,2021-04-23,13:31:18,Ghana,Kyrgyzstan
Kazım Karabekir Stadium,2021-05-17,18:07:56,Curaçao,Bosnia and Herzegovina
Baenão,2021-04-03,02:06:55,Tunisia,Saint Lucia
Baenão,2021-05-05,11:23:17,Mexico,Bhutan
Baenão,2021-01-01,05:24:26,Myanmar,Cuba
Baenão,2021-03-02,20:41:53,Poland,Sudan
Baenão,2021-05-03,01:32:21,Somalia,Russia
Baenão,2021-05-06,02:16:33,Panama,Hungary
Baenão,2021-03-12,23:34:31,Serbia,Iceland
Estádio Jayme Cintra,2020-12-30,17:37:19,British Virgin Islands,Hungary
Estádio Jayme Cintra,2021-05-04,02:15:27,Mexico,Democratic Republic of the Congo
Estádio Jayme Cintra,2021-03-18,02:26:45,Nepal,Kuwait
Estádio Jayme Cintra,2020-11-30,04:52:42,Argentina,South Korea
Estádio Jayme Cintra,2021-01-22,05:28:53,Germany,Honduras
Estádio Jayme Cintra,2021-03-02,07:00:48,British Virgin Islands,Saint Kitts and Nevis
Estádio Jayme Cintra,2021-04-27,15:57:55,Faroe Islands,San Marino
JSC ZAZ Stadium,2021-05-17,05:33:01,Nicaragua,Sweden
JSC ZAZ Stadium,2020-12-15,16:29:39,Australia,Mauritius
JSC ZAZ Stadium,2021-03-31,11:04:23,Saudi Arabia,Paraguay
JSC ZAZ Stadium,2021-04-29,01:27:37,Thailand,Somalia
JSC ZAZ Stadium,2020-12-26,13:38:01,Burundi,Saint Vincent and the Grenadines
JSC ZAZ Stadium,2020-12-03,13:35:16,United Kingdom,Nigeria
Baharuddin Siregar Stadium,2021-01-29,13:46:01,Honduras,United States of America
Baharuddin Siregar Stadium,2021-03-16,17:22:15,Libya,Saint Lucia
Baharuddin Siregar Stadium,2021-05-20,04:23:24,New Zealand,Republic of Abkhazia
Baharuddin Siregar Stadium,2021-03-03,18:02:47,South Africa,Indonesia
Baharuddin Siregar Stadium,2021-01-08,00:39:09,Switzerland,Kosovo
Baharuddin Siregar Stadium,2020-12-17,22:30:14,Lithuania,Faroe Islands
Baharuddin Siregar Stadium,2021-05-06,17:28:26,Pakistan,Iraq
Baharuddin Siregar Stadium,2021-04-10,14:13:31,The Gambia,Faroe Islands
Baharuddin Siregar Stadium,2021-03-24,07:52:00,Moldova,Spain
Estadio Alfredo Beranger,2020-11-24,16:02:34,Israel,Guernsey
Estadio Alfredo Beranger,2020-12-17,22:05:42,Botswana,Malawi
Estadio Alfredo Beranger,2020-12-09,22:10:29,San Marino,Republic of Abkhazia
Estadio Alfredo Beranger,2021-01-13,15:33:16,Sierra Leone,Czech Republic
Estadio Alfredo Beranger,2020-11-23,04:46:42,Serbia,Malaysia
Estadio Alfredo Beranger,2021-05-01,16:12:54,Denmark,Trinidad and Tobago
Estadio Alfredo Beranger,2021-01-25,07:24:36,Oman,Mexico
Estadio Alfredo Beranger,2021-05-04,06:54:03,France,Canada
Estadio Bautista Gargantini,2020-12-21,14:36:21,Democratic Republic of the Congo,Sri Lanka
Estadio Bautista Gargantini,2020-11-29,09:31:11,Syria,France
Estadio Bautista Gargantini,2021-03-12,19:21:33,Tunisia,São Tomé and Príncipe
Estadio Bautista Gargantini,2021-01-03,06:43:03,Burundi,Malawi
Estadio Bautista Gargantini,2021-03-14,01:13:05,Bhutan,Brazil
"Estadio Monumental ""U""",2021-02-01,03:23:59,Mexico,United Arab Emirates
"Estadio Monumental ""U""",2021-03-12,18:54:20,Greece,Uganda
"Estadio Monumental ""U""",2021-04-16,08:07:55,Zambia,Argentina
"Estadio Monumental ""U""",2020-11-23,03:42:37,Albania,Uruguay
"Estadio Monumental ""U""",2021-04-13,17:29:29,Serbia,Belarus
"Estadio Monumental ""U""",2021-01-17,23:11:52,Benin,Lithuania
"Estadio Monumental ""U""",2021-04-18,02:52:48,Dominica,North Korea
Estadio Ciudad de Cumaná,2021-02-04,11:11:33,Rwanda,Albania
Estadio Ciudad de Cumaná,2021-04-24,08:14:39,Afghanistan,Ivory Coast
Estadio Ciudad de Cumaná,2020-12-26,01:06:27,Japan,South Africa
Estadio Ciudad de Cumaná,2021-04-11,04:53:50,Bhutan,Botswana
Estadio Ciudad de Cumaná,2020-12-28,16:34:30,Morocco,Latvia
Estadio Ciudad de Cumaná,2020-12-08,09:50:38,Ireland,The Gambia
Estadio Ciudad de Cumaná,2021-01-14,20:33:50,Iceland,Jordan
Estadio Manuel Calle Lombana,2021-01-05,06:57:09,Saint Kitts and Nevis,Grenada
Estadio Manuel Calle Lombana,2021-04-21,00:44:02,Mauritius,Nicaragua
Estadio Manuel Calle Lombana,2020-12-18,19:55:34,Brazil,United States of America
Estadio Manuel Calle Lombana,2021-01-10,00:27:27,São Tomé and Príncipe,Spain
Estadio Manuel Calle Lombana,2020-12-18,08:59:40,Serbia,Ireland
Estadio Manuel Calle Lombana,2021-03-19,07:09:51,Zimbabwe,Australia
Estadio Manuel Calle Lombana,2020-12-15,13:24:47,Angola,Kenya
Estadio Manuel Calle Lombana,2021-02-10,11:41:16,Greece,Cape Verde
Estadio Manuel Calle Lombana,2021-04-02,16:12:15,Moldova,Hungary
Estadio Manuel Calle Lombana,2021-04-26,11:54:26,Australia,Greece
Sultan Ismail Nasiruddin Shah Stadium,2020-11-24,14:45:51,Liechtenstein,Turkmenistan
Sultan Ismail Nasiruddin Shah Stadium,2021-04-26,04:39:50,United Arab Emirates,Papua New Guinea
Sultan Ismail Nasiruddin Shah Stadium,2020-11-26,10:52:37,Burkina Faso,Jordan
Sultan Ismail Nasiruddin Shah Stadium,2021-01-23,09:00:41,Sierra Leone,Iran
Sultan Ismail Nasiruddin Shah Stadium,2020-12-13,06:43:45,Cyprus,South Korea
Sultan Ismail Nasiruddin Shah Stadium,2021-02-22,20:03:50,Solomon Islands,Mexico
Sultan Ismail Nasiruddin Shah Stadium,2021-04-12,05:28:45,Bhutan,North Korea
Sultan Ismail Nasiruddin Shah Stadium,2021-03-23,19:47:32,Brazil,Burundi
Sultan Ismail Nasiruddin Shah Stadium,2021-03-13,00:18:36,Honduras,Montenegro
Amaan Stadium,2021-05-09,04:39:10,Uruguay,Norway
Amaan Stadium,2021-03-11,23:01:18,Jordan,Liechtenstein
Amaan Stadium,2020-11-28,03:32:51,Kuwait,Myanmar
Stade de Virunga,2021-04-15,02:09:43,Honduras,Cape Verde
Stade de Virunga,2021-01-17,00:44:15,Eritrea,Malta
Stade de Virunga,2021-04-03,23:35:25,Dominica,Zimbabwe
Stade de Virunga,2021-01-03,03:43:06,San Marino,Morocco
Stade de Virunga,2020-11-25,12:09:08,Philippines,Montenegro
Stade de Virunga,2020-11-30,05:37:50,Botswana,El Salvador
Stade de Virunga,2021-01-15,15:28:54,Iran,Brunei
Stade de Virunga,2021-01-13,13:43:53,Bosnia and Herzegovina,Burundi
Stade de Virunga,2021-01-08,04:30:40,Trinidad and Tobago,Luxembourg
Stade de Virunga,2020-12-07,06:30:19,Papua New Guinea,Jordan
Stade d'Agadir,2021-03-05,22:49:04,Dominica,Chile
Stade d'Agadir,2021-04-02,14:47:00,Japan,Greenland
Stade d'Agadir,2021-01-29,03:00:42,Croatia,Iceland
Mizuho Athletic Stadium,2021-01-12,21:37:08,Liechtenstein,Dominica
Mizuho Athletic Stadium,2021-03-28,16:08:47,Uruguay,Spain
Mizuho Athletic Stadium,2021-03-06,20:46:25,North Macedonia,Peru
Mizuho Athletic Stadium,2021-04-11,21:20:05,Mexico,Zambia
Mizuho Athletic Stadium,2021-03-03,06:13:04,Vietnam,Nicaragua
Mizuho Athletic Stadium,2021-03-28,00:33:38,Bolivia,Benin
Mizuho Athletic Stadium,2020-12-25,08:42:37,Finland,Solomon Islands
Mizuho Athletic Stadium,2021-02-13,12:01:22,Honduras,Armenia
Thomond Park,2021-02-22,10:46:32,Kyrgyzstan,Panama
Thomond Park,2021-03-04,10:27:09,Guatemala,Poland
Thomond Park,2021-02-04,03:51:05,People's Republic of China,Mongolia
Thomond Park,2021-03-22,11:02:50,Malaysia,Cuba
Thomond Park,2021-04-04,17:35:37,Malawi,San Marino
Thomond Park,2021-03-23,10:19:53,Faroe Islands,Papua New Guinea
Thomond Park,2021-04-17,14:30:32,Costa Rica,South Sudan
Thomond Park,2021-04-28,11:30:00,Liechtenstein,Panama
Thomond Park,2021-04-28,15:13:21,Eritrea,Malta
Thomond Park,2021-04-05,22:50:08,Antigua and Barbuda,Saint Kitts and Nevis
Estadi Ciutat de València,2020-12-12,15:44:00,Paraguay,Cambodia
Estadi Ciutat de València,2021-02-02,05:02:04,Somalia,Cameroon
Estadi Ciutat de València,2021-03-16,12:01:19,South Korea,Guyana
SAP Center,2020-12-22,12:40:13,State of Palestine,Thailand
SAP Center,2021-03-27,20:18:59,Gabon,Vietnam
SAP Center,2021-02-01,06:08:46,Switzerland,Slovenia
SAP Center,2020-12-22,05:43:59,Georgia,Burundi
SAP Center,2021-01-13,19:55:27,Kenya,Moldova
SAP Center,2021-04-22,18:06:15,Lithuania,Democratic Republic of the Congo
SAP Center,2020-12-18,11:30:34,Kuwait,Armenia
SAP Center,2021-04-23,01:01:24,Netherlands,Moldova
Inter Miami CF Stadium,2021-05-03,11:50:41,Denmark,Bolivia
Inter Miami CF Stadium,2021-02-03,06:16:18,Vietnam,Solomon Islands
Inter Miami CF Stadium,2021-04-10,08:02:19,Syria,Burundi
Inter Miami CF Stadium,2021-02-01,14:31:06,Angola,Georgia
Inter Miami CF Stadium,2020-12-29,01:00:17,Guyana,Serbia
Inter Miami CF Stadium,2021-02-19,11:47:19,Lithuania,Estonia
Inter Miami CF Stadium,2020-11-24,14:48:45,Djibouti,Zambia
Inter Miami CF Stadium,2021-03-20,01:07:01,Papua New Guinea,State of Palestine
Inter Miami CF Stadium,2021-03-10,21:29:00,Nepal,Papua New Guinea
Inter Miami CF Stadium,2021-03-16,10:47:12,Denmark,Democratic Republic of the Congo
Gamla Ullevi,2021-03-13,15:23:49,Brazil,Vietnam
Gamla Ullevi,2020-12-03,06:18:57,El Salvador,Bulgaria
Gamla Ullevi,2021-03-30,03:28:03,Pakistan,Antigua and Barbuda
Gamla Ullevi,2021-05-09,21:45:44,Saint Vincent and the Grenadines,Venezuela
Gamla Ullevi,2021-01-08,23:05:46,Saudi Arabia,Angola
Gamla Ullevi,2021-05-11,15:21:59,Trinidad and Tobago,Egypt
Gamla Ullevi,2021-05-16,07:24:56,Egypt,Chile
Gamla Ullevi,2021-03-09,16:02:28,Estonia,São Tomé and Príncipe
Gamla Ullevi,2021-04-07,08:42:01,Benin,Iran
Gamla Ullevi,2021-01-05,03:44:50,Germany,Afghanistan
Juventus Stadium,2021-02-11,10:57:48,Myanmar,Trinidad and Tobago
Juventus Stadium,2020-12-04,03:08:55,Cyprus,Botswana
Juventus Stadium,2020-12-13,04:40:28,Netherlands,Germany
Juventus Stadium,2021-02-22,06:39:12,Slovakia,Uzbekistan
Juventus Stadium,2020-12-15,15:03:35,Bolivia,Uzbekistan
Juventus Stadium,2021-04-06,20:07:49,Greenland,Lebanon
Juventus Stadium,2021-03-23,18:31:37,Latvia,Kazakhstan
Juventus Stadium,2021-05-09,05:19:31,Paraguay,Republic of Abkhazia
Stadio Erasmo Iacovone,2021-05-16,10:19:41,New Zealand,Turkmenistan
Stadio Erasmo Iacovone,2020-12-02,03:39:26,Jordan,Vietnam
Stadio Erasmo Iacovone,2021-05-08,10:44:31,Spain,Sudan
Stadio Erasmo Iacovone,2021-04-15,05:34:55,Gabon,Burundi
Stadio Erasmo Iacovone,2021-03-07,17:12:17,Qatar,Poland
Stadio Erasmo Iacovone,2020-11-27,21:21:52,Netherlands,Algeria
Stadio Erasmo Iacovone,2020-12-17,12:48:56,Bangladesh,Curaçao
Stadio Erasmo Iacovone,2021-05-06,12:10:59,Kenya,São Tomé and Príncipe
Stadio Erasmo Iacovone,2021-02-09,17:22:32,Trinidad and Tobago,British Virgin Islands
Stadio Erasmo Iacovone,2021-04-01,15:16:57,North Korea,Guatemala
Pankritio Stadium,2021-05-09,09:12:02,Fiji,Liechtenstein
Pankritio Stadium,2021-04-09,17:34:45,Italy,Hungary
Pankritio Stadium,2021-05-05,14:21:52,Argentina,Cape Verde
León Stadium,2021-05-12,01:16:11,Lithuania,Turkey
León Stadium,2021-01-22,02:34:26,Bolivia,People's Republic of China
León Stadium,2021-03-02,01:04:54,Ethiopia,Mali
León Stadium,2020-12-18,03:22:55,Solomon Islands,Suriname
León Stadium,2020-12-29,03:42:19,Antigua and Barbuda,Spain
Caliente Stadium,2021-02-07,08:58:28,Zambia,Tunisia
Caliente Stadium,2021-04-08,07:54:39,Belarus,Nicaragua
Caliente Stadium,2021-01-03,09:40:29,Chile,Australia
Caliente Stadium,2021-01-06,16:19:25,Serbia,Sierra Leone
Caliente Stadium,2021-02-25,19:43:25,Ecuador,Nigeria
Caliente Stadium,2021-04-01,15:13:20,Saint Lucia,Oman
Caliente Stadium,2021-04-19,22:50:27,Greece,Bosnia and Herzegovina
Caliente Stadium,2020-12-14,14:19:39,Colombia,Iraq
Caliente Stadium,2021-01-10,01:56:52,Azerbaijan,Greece
Stade Saint-Symphorien,2021-03-02,14:03:48,Denmark,Liberia
Stade Saint-Symphorien,2021-03-10,16:08:21,Uganda,Republic of Abkhazia
Stade Saint-Symphorien,2021-05-18,06:12:03,Zimbabwe,Afghanistan
Stade Saint-Symphorien,2021-02-28,01:17:20,Austria,Singapore
Stade Saint-Symphorien,2020-12-01,00:23:22,Liechtenstein,Austria
Stade Saint-Symphorien,2021-05-09,01:23:08,Djibouti,Faroe Islands
Stade Saint-Symphorien,2021-01-11,21:01:46,Latvia,Kazakhstan
Kiyan Prince Foundation Stadium,2021-01-04,21:31:35,Botswana,Tanzania
Kiyan Prince Foundation Stadium,2021-04-08,17:35:27,Morocco,Norway
Kiyan Prince Foundation Stadium,2021-01-22,03:27:10,Greece,Gabon
Kiyan Prince Foundation Stadium,2021-05-15,00:06:48,Suriname,Brazil
Kiyan Prince Foundation Stadium,2021-02-13,15:41:12,The Gambia,Sudan
Kiyan Prince Foundation Stadium,2020-12-07,15:25:21,Brunei,Malta
Kiyan Prince Foundation Stadium,2021-05-12,07:31:01,Somalia,Brazil
Kiyan Prince Foundation Stadium,2020-12-16,10:22:22,Lithuania,Albania
Stamford Bridge stadium,2021-02-02,15:54:03,Sri Lanka,Somalia
Stamford Bridge stadium,2021-05-11,08:14:25,Bulgaria,Afghanistan
Stamford Bridge stadium,2021-02-24,00:37:29,Bolivia,Costa Rica
Stamford Bridge stadium,2021-04-20,05:52:02,British Virgin Islands,Faroe Islands
Stamford Bridge stadium,2021-02-13,19:31:07,Belgium,Rwanda
Stamford Bridge stadium,2021-01-02,20:50:17,Bolivia,Cuba
Stamford Bridge stadium,2020-12-30,15:19:05,Suriname,Trinidad and Tobago
Stamford Bridge stadium,2020-12-07,18:37:59,South Africa,Faroe Islands
Stamford Bridge stadium,2021-03-28,22:43:52,Laos,India
Ashton Gate Stadium,2021-01-18,12:05:49,Philippines,Turkmenistan
Ashton Gate Stadium,2021-04-05,13:40:56,Moldova,North Korea
Ashton Gate Stadium,2021-01-28,00:51:02,Fiji,Azerbaijan
Ashton Gate Stadium,2020-12-17,13:32:17,Cameroon,Latvia
Ashton Gate Stadium,2021-01-23,12:17:41,Venezuela,Israel
Ashton Gate Stadium,2021-04-02,03:27:37,Angola,Switzerland
Ashton Gate Stadium,2021-02-24,21:37:29,Estonia,Ireland
Ashton Gate Stadium,2021-01-20,19:28:07,Dominica,Honduras
Ashton Gate Stadium,2021-03-09,16:12:07,Argentina,Panama
Ashton Gate Stadium,2020-12-29,14:47:06,Guatemala,South Korea
The Valley,2021-02-16,14:52:11,Poland,People's Republic of China
The Valley,2021-03-09,21:10:26,Liberia,Armenia
The Valley,2021-01-12,13:41:57,Egypt,Zambia
The Valley,2021-02-16,09:14:48,Suriname,Guyana
The Valley,2021-02-01,13:28:34,Ghana,Rwanda
The Valley,2021-01-19,18:44:04,Morocco,Finland
The Valley,2021-03-01,13:13:34,Ethiopia,Sweden
Selhurst Park,2021-02-02,22:55:33,Nigeria,Bosnia and Herzegovina
Selhurst Park,2021-02-27,18:39:10,Cambodia,Austria
Selhurst Park,2021-03-23,18:47:55,Iran,Mauritius
Selhurst Park,2021-05-18,23:40:04,Mali,Bahrain
Selhurst Park,2020-11-25,04:08:06,Montenegro,Czech Republic
Selhurst Park,2020-12-12,18:02:05,Peru,Guatemala
Selhurst Park,2020-12-01,13:38:48,Tanzania,Zimbabwe
Selhurst Park,2021-01-02,04:37:30,Democratic Republic of the Congo,Canada
Frasqueirão,2021-01-02,13:27:11,Ukraine,Cyprus
Frasqueirão,2021-05-16,12:43:28,Estonia,Belgium
Frasqueirão,2021-03-31,21:30:07,Republic of Abkhazia,Fiji
Frasqueirão,2021-03-20,15:02:37,Canada,Singapore
Frasqueirão,2020-12-03,03:41:47,Somalia,North Macedonia
Frasqueirão,2021-03-07,08:35:56,Angola,Tanzania
Frasqueirão,2020-12-17,11:07:15,Cameroon,Paraguay
